order_item_id,order_id,product_id,quantity,unit_price
1,1001,1,1,15000
2,1001,3,2,1200
3,1002,5,1,12000
4,1002,7,1,3500
5,1003,2,1,8000
6,1003,8,2,2200
7,1004,1,1,15000
8,1004,4,1,5500
9,1004,6,1,9800
10,1005,11,3,1800
11,1005,12,1,3200
12,1006,9,1,7500
13,1007,14,1,8500
14,1007,13,2,1500
15,1008,6,1,9800
16,1008,7,1,3500
17,1009,1,1,15000
18,1009,5,1,12000
19,1010,2,1,8000
20,1010,10,1,4500
21,1011,4,1,5500
22,1011,3,3,1200
23,1012,9,1,7500
24,1012,8,1,2200
25,1013,1,2,15000
26,1013,6,1,9800
27,1014,11,2,1800
28,1014,12,2,3200
29,1015,3,5,1200
30,1015,13,3,1500
31,1016,7,2,3500
32,1016,8,1,2200
33,1017,5,1,12000
34,1017,4,1,5500
35,1018,10,2,4500
36,1019,1,1,15000
37,1019,2,1,8000
38,1019,14,1,8500
39,1020,6,1,9800
40,1020,7,1,3500
