order_id,user_id,order_date,status,payment_method,shipping_country,discount_amount
1001,1,2024-06-01,completed,credit_card,JP,0
1002,3,2024-06-02,completed,credit_card,JP,500
1003,2,2024-06-03,completed,paypal,US,0
1004,5,2024-06-05,completed,credit_card,JP,1000
1005,1,2024-06-07,completed,credit_card,JP,0
1006,4,2024-06-10,cancelled,credit_card,UK,0
1007,7,2024-06-12,completed,bank_transfer,JP,200
1008,6,2024-06-15,completed,paypal,US,0
1009,3,2024-06-18,completed,credit_card,JP,800
1010,8,2024-06-20,completed,credit_card,DE,0
1011,9,2024-06-22,completed,credit_card,JP,500
1012,10,2024-06-25,pending,paypal,US,0
1013,5,2024-06-28,completed,credit_card,JP,1500
1014,2,2024-07-01,completed,paypal,US,0
1015,1,2024-07-03,completed,credit_card,JP,0
1016,7,2024-07-05,completed,bank_transfer,JP,300
1017,3,2024-07-08,completed,credit_card,JP,0
1018,4,2024-07-10,refunded,credit_card,UK,0
1019,9,2024-07-12,completed,credit_card,JP,1000
1020,6,2024-07-15,completed,paypal,US,0
