department_id,department_name,floor,phone_extension,load_date,record_source
DEPT-001,内科,2,2100,2026-01-01,HOSPITAL_SYSTEM
DEPT-002,小児科,2,2200,2026-01-01,HOSPITAL_SYSTEM
DEPT-003,外科,3,3100,2026-01-01,HOSPITAL_SYSTEM
DEPT-004,皮膚科,1,1100,2026-01-01,HOSPITAL_SYSTEM
DEPT-005,整形外科,3,3200,2026-01-01,HOSPITAL_SYSTEM
DEPT-006,眼科,1,1200,2026-01-01,HOSPITAL_SYSTEM
DEPT-007,耳鼻咽喉科,1,1300,2026-01-01,HOSPITAL_SYSTEM
DEPT-008,産婦人科,4,4100,2026-01-01,HOSPITAL_SYSTEM
DEPT-009,精神科,5,5100,2026-01-01,HOSPITAL_SYSTEM
DEPT-010,放射線科,B1,B100,2026-01-01,HOSPITAL_SYSTEM
