hotel_booking_id,traveler_id,hotel_id,check_in,check_out,amount
HB001,T001,H005,2024-03-02,2024-03-06,64000
HB002,T001,H006,2024-03-06,2024-03-14,200000
HB003,T002,H007,2024-03-06,2024-03-11,75000
HB004,T002,H015,2024-06-02,2024-06-06,120000
HB005,T003,H001,2024-04-11,2024-04-16,125000
HB006,T004,H008,2024-04-16,2024-04-21,60000
HB007,T005,H009,2024-05-02,2024-05-05,27000
HB008,T005,H005,2024-11-16,2024-11-20,68000
HB009,T006,H010,2024-05-21,2024-05-25,36000
HB010,T007,H014,2024-06-02,2024-06-07,70000
HB011,T007,H008,2024-07-02,2024-07-06,56000
HB012,T008,H003,2024-06-16,2024-06-20,80000
HB013,T010,H001,2024-07-11,2024-07-15,100000
HB014,T010,H015,2024-07-21,2024-07-25,128000
HB015,T011,H013,2024-08-02,2024-08-07,65000
HB016,T013,H009,2024-08-16,2024-08-19,24000
HB017,T014,H011,2024-09-02,2024-09-06,88000
HB018,T015,H008,2024-09-11,2024-09-14,42000
HB019,T016,H003,2024-09-16,2024-09-20,76000
HB020,T016,H004,2024-09-20,2024-09-24,48000
HB021,T017,H005,2024-10-02,2024-10-06,66000
HB022,T018,H015,2024-10-11,2024-10-15,132000
HB023,T001,H015,2024-11-02,2024-11-06,136000
HB024,T003,H014,2024-11-11,2024-11-15,72000
HB025,T019,H012,2024-10-16,2024-10-20,84000
