rate_id,hotel_id,effective_date,rate_per_night
R001,H001,2024-01-01,22000
R002,H001,2024-04-01,25000
R003,H001,2024-07-01,28000
R004,H002,2024-01-01,8000
R005,H002,2024-07-01,10000
R006,H003,2024-01-01,18000
R007,H003,2024-06-01,20000
R008,H003,2024-10-01,19000
R009,H004,2024-01-01,11000
R010,H004,2024-07-01,13000
R011,H005,2024-01-01,15000
R012,H005,2024-04-01,16000
R013,H005,2024-10-01,17000
R014,H006,2024-01-01,28000
R015,H006,2024-07-01,32000
R016,H007,2024-01-01,16000
R017,H007,2024-06-01,18000
R018,H008,2024-01-01,12000
R019,H008,2024-05-01,14000
R020,H008,2024-09-01,13000
R021,H009,2024-01-01,8000
R022,H009,2024-06-01,9500
R023,H010,2024-01-01,9000
R024,H010,2024-07-01,10000
R025,H011,2024-01-01,20000
R026,H011,2024-06-01,22000
R027,H012,2024-01-01,19000
R028,H012,2024-07-01,21000
R029,H013,2024-01-01,13000
R030,H013,2024-06-01,15000
R031,H014,2024-01-01,16000
R032,H014,2024-05-01,17000
R033,H014,2024-09-01,16500
R034,H015,2024-01-01,30000
R035,H015,2024-04-01,32000
R036,H015,2024-07-01,35000
R037,H015,2024-10-01,33000
R038,H001,2024-10-01,24000
R039,H005,2024-07-01,16500
R040,H006,2024-10-01,30000
R041,H008,2024-12-01,15000
R042,H009,2024-10-01,9000
R043,H011,2024-10-01,21000
R044,H014,2024-12-01,17500
R045,H015,2024-12-01,34000
