election_id,party_id,district_votes,proportional_votes,seats_won
1,1,25643309,16624457,294
1,2,13598773,9628653,57
1,3,885881,7116474,31
1,4,6942353,12262228,54
1,5,4700289,3689159,8
1,8,451762,1420790,2
1,9,7777633,8258239,34
2,1,22681192,18460404,65
2,2,7138556,7134215,17
2,3,756816,7568080,11
2,4,6355299,6355975,8
2,5,5645937,5154055,8
2,8,273459,1255235,1
2,9,4138741,4071036,11
3,1,25461427,17658916,291
3,2,11916849,9775991,73
3,3,765390,7314236,35
3,4,4319646,8382699,41
3,5,7040169,6062962,21
3,8,419395,1314441,2
3,9,3117124,5486755,12
4,1,22590071,20114788,56
4,2,10777754,11751015,32
4,3,938631,7572960,14
4,4,3123075,5153584,7
4,5,5960838,6016195,6
4,8,289899,1536238,1
4,9,3309732,4855220,5
5,1,26500722,18555717,284
5,2,4726326,11084890,55
5,3,832453,6977712,29
5,4,1765053,3387097,11
5,5,4998932,4404081,12
5,8,634719,941324,2
5,9,17609795,13649179,72
6,1,19269543,17711862,57
6,2,7919326,7917199,17
6,3,716687,6536336,14
6,4,4907844,4901245,10
6,5,4487028,4483411,7
6,6,3481052,3486776,6
6,7,2280252,2289985,2
6,8,261342,1046108,1
6,9,5676926,5626078,10
7,1,27626235,19914883,261
7,2,14767613,11492095,96
7,3,714278,7114282,32
7,4,4802793,8050830,41
7,5,4635820,4166076,10
7,6,2593396,2593563,11
7,7,1903587,2215648,3
7,8,310291,1018588,1
7,9,2645987,3434035,10
8,1,18256207,18460340,63
8,2,6770285,6771080,17
8,3,618342,6181034,13
8,4,4807210,7846285,12
8,5,3635110,3618976,4
8,6,2163012,3159321,5
8,7,1309094,2319156,3
8,8,189040,1258501,1
8,9,4251700,4385307,7
9,1,20329238,14342879,191
9,2,13727031,11638777,148
9,3,592416,5962384,24
9,4,5765210,5104987,38
9,5,4434048,3361658,8
9,6,3134856,6172411,28
9,7,2516842,3805012,9
9,8,215739,511870,1
9,9,5284620,5100022,18
10,1,17500000,17000000,55
10,2,8900000,8800000,20
10,3,550000,5800000,13
10,4,5200000,5100000,12
10,5,3200000,3100000,5
10,6,2800000,3500000,7
10,7,1800000,2500000,3
10,8,180000,900000,1
10,9,5870000,5300000,8
