election_id,prefecture_id,eligible_voters,actual_voters
7,1,4538559,2503710
7,2,1103205,586503
7,3,1067218,580559
7,4,1940380,1049006
7,5,876543,485127
7,6,936215,530735
7,7,1598432,873344
7,8,2462718,1356728
7,9,1642635,894422
7,10,1630251,899113
7,11,6118230,3354295
7,12,5243781,2897528
7,13,11392156,6484128
7,14,7623540,4208316
7,15,1933241,1074051
7,16,898320,510645
7,17,943275,528240
7,18,651824,380215
7,19,700125,392470
7,20,1738561,985771
7,21,1681542,938221
7,22,3075840,1697482
7,23,6095320,3386085
7,24,1498635,823749
7,25,1143562,640395
7,26,2118345,1199598
7,27,7298450,3839485
7,28,4587230,2521978
7,29,1138742,616466
7,30,812435,442375
7,31,473218,278042
7,32,578640,348312
7,33,1567321,857699
7,34,2348750,1290813
7,35,1168423,667569
7,36,628745,351268
7,37,812346,449227
7,38,1158435,629135
7,39,612340,347401
7,40,4198432,2319733
7,41,682345,390862
7,42,1138762,636943
7,43,1468530,806692
7,44,968742,536519
7,45,918564,497641
7,46,1367824,737827
7,47,1158243,590704
8,1,4520138,2214874
8,2,1095420,540972
8,3,1058632,545191
8,4,1932456,983511
8,5,868421,443942
8,6,928345,491011
8,7,1590216,803851
8,8,2450312,1234101
8,9,1634528,816572
8,10,1622345,823346
8,11,6105438,3036203
8,12,5232156,2627221
8,13,11380542,5929002
8,14,7610328,3805164
8,15,1925634,996863
8,16,892540,478500
8,17,935648,496895
8,18,645230,355876
8,19,694328,360653
8,20,1730425,918837
8,21,1673428,871006
8,22,3068210,1565817
8,23,6082435,3115235
8,24,1490832,763800
8,25,1138240,582268
8,26,2110432,1089385
8,27,7285630,3716846
8,28,4575312,2310037
8,29,1132456,568094
8,30,806218,413590
8,31,468540,258165
8,32,572831,318975
8,33,1560218,789230
8,34,2340128,1181345
8,35,1162345,624219
8,36,624530,324750
8,37,806328,421710
8,38,1150620,581563
8,39,606218,321297
8,40,4185620,2148434
8,41,676218,360239
8,42,1132456,588873
8,43,1460218,753464
8,44,962540,497472
8,45,912345,467222
8,46,1360128,698946
8,47,1152340,549716
9,1,4505231,2362243
9,2,1088432,560571
9,3,1050218,546109
9,4,1925348,1002185
9,5,860218,452815
9,6,920532,493099
9,7,1582435,832401
9,8,2438520,1297303
9,9,1626345,853836
9,10,1614528,849236
9,11,6092345,3197510
9,12,5220128,2757830
9,13,11368432,6252638
9,14,7598124,4026806
9,15,1918432,1013145
9,16,886320,474844
9,17,928435,491049
9,18,639218,349888
9,19,688540,370380
9,20,1722345,938975
9,21,1665320,888479
9,22,3060128,1632188
9,23,6070218,3277916
9,24,1483240,787319
9,25,1132456,609682
9,26,2102345,1124254
9,27,7272812,3854593
9,28,4563218,2395620
9,29,1126345,596957
9,30,800128,427268
9,31,464218,260566
9,32,567230,320507
9,33,1553240,834891
9,34,2332435,1247146
9,35,1156218,629235
9,36,620345,330924
9,37,800218,430517
9,38,1142835,605699
9,39,600345,330190
9,40,4172812,2253343
9,41,670345,367199
9,42,1126345,597961
9,43,1452340,781108
9,44,956320,504432
9,45,906218,474657
9,46,1352456,710440
9,47,1146218,573109
10,1,4490120,2155258
10,2,1080218,518505
10,3,1042435,521218
10,4,1918234,940938
10,5,852432,421452
10,6,912740,461854
10,7,1574628,764524
10,8,2426345,1164646
10,9,1618432,777654
10,10,1606728,778462
10,11,6080128,2888861
10,12,5208235,2520785
10,13,11355218,5564057
10,14,7586218,3642426
10,15,1910628,935204
10,16,880218,449231
10,17,920628,468920
10,18,633412,333585
10,19,682745,348199
10,20,1714528,883484
10,21,1657432,837604
10,22,3052345,1507108
10,23,6058124,3065212
10,24,1475640,738820
10,25,1126628,558491
10,26,2094528,1037491
10,27,7260120,3557459
10,28,4551320,2207590
10,29,1120238,548116
10,30,794218,397109
10,31,460128,248269
10,32,561628,306649
10,33,1546345,772399
10,34,2324628,1150085
10,35,1150218,598614
10,36,616528,311961
10,37,794235,405060
10,38,1135042,564309
10,39,594528,306779
10,40,4160120,2121661
10,41,664528,351141
10,42,1120238,571322
10,43,1444528,743130
10,44,950218,479610
10,45,900128,450064
10,46,1345218,680600
10,47,1140128,536460
